LLLL: abandon
LLLR: ability
LLLx: able
LLL←: about
LLL↑: above
LLL→: absent
LLL↓: absorb
LLL■: abstract
LLL▲: absurd
LLL●: abuse
LLRL: access
LLRR: accident
LLRx: account
LLR←: accuse
LLR↑: achieve
LLR→: acid
LLR↓: acoustic
LLR■: acquire
LLR▲: across
LLR●: act
LLxL: action
LLxR: actor
LLxx: actress
LLx←: actual
LLx↑: adapt
LLx→: add
LLx↓: addict
LLx■: address
LLx▲: adjust
LLx●: admit
LL←L: adult
LL←R: advance
LL←x: advice
LL←←: aerobic
LL←↑: affair
LL←→: afford
LL←↓: afraid
LL←■: again
LL←▲: age
LL←●: agent
LL↑L: agree
LL↑R: ahead
LL↑x: aim
LL↑←: air
LL↑↑: airport
LL↑→: aisle
LL↑↓: alarm
LL↑■: album
LL↑▲: alcohol
LL↑●: alert
LL→L: alien
LL→R: all
LL→x: alley
LL→←: allow
LL→↑: almost
LL→→: alone
LL→↓: alpha
LL→■: already
LL→▲: also
LL→●: alter
LL↓L: always
LL↓R: amateur
LL↓x: amazing
LL↓←: among
LL↓↑: amount
LL↓→: amused
LL↓↓: analyst
LL↓■: anchor
LL↓▲: ancient
LL↓●: anger
LL■L: angle
LL■R: angry
LL■x: animal
LL■←: ankle
LL■↑: announce
LL■→: annual
LL■↓: another
LL■■: answer
LL■▲: antenna
LL■●: antique
LL▲L: anxiety
LL▲R: any
LL▲x: apart
LL▲←: apology
LL▲↑: appear
LL▲→: apple
LL▲↓: approve
LL▲■: april
LL▲▲: arch
LL▲●: arctic
LL●L: area
LL●R: arena
LL●x: argue
LL●←: arm
LL●↑: armed
LL●→: armor
LL●↓: army
LL●■: around
LL●▲: arrange
LL●●: arrest
LRLL: arrive
LRLR: arrow
LRLx: art
LRL←: artefact
LRL↑: artist
LRL→: artwork
LRL↓: ask
LRL■: aspect
LRL▲: assault
LRL●: asset
LRRL: assist
LRRR: assume
LRRx: asthma
LRR←: athlete
LRR↑: atom
LRR→: attack
LRR↓: attend
LRR■: attitude
LRR▲: attract
LRR●: auction
LRxL: audit
LRxR: august
LRxx: aunt
LRx←: author
LRx↑: auto
LRx→: autumn
LRx↓: average
LRx■: avocado
LRx▲: avoid
LRx●: awake
LR←L: aware
LR←R: away
LR←x: awesome
LR←←: awful
LR←↑: awkward
LR←→: axis
